"","nombre","final_family","nusado","n_in_uc","uc"
"18","Guatteria oligocarpa","Annonaceae",182,83,"FLORESTA NACIONAL DE RIO PRETO,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU,RESERVA BIOLÓGICA DE UNA,ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE,ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO,PARQUE NACIONAL PAU BRASIL,PARQUE NACIONAL DO DESCOBRIMENTO,ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,ESTAÇÃO ECOLÓGICA DE MURICI,PARQUE NACIONAL DO MONTE PASCOAL,ÁREA DE PROTEÇÃO AMBIENTAL SANTO ANTÔNIO"
"19","Guatteria pogonopus","Annonaceae",347,97,"ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE BATURITÉ,PARQUE NACIONAL DE UBAJARA,RESERVA BIOLOGICA DE PEDRA TALHADA,PARQUE NACIONAL DA SERRA DE ITABAIANA,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA,PARQUE NACIONAL PAU BRASIL,RESERVA BIOLÓGICA AUGUSTO RUSCHI,ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU,ÁREA DE PROTEÇÃO AMBIENTAL DO PICO DO GOIAPABA-AÇU,RESERVA BIOLÓGICA DE UNA,PARQUE NACIONAL DO MONTE PASCOAL,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO LAJEADO,PARQUE NACIONAL DO DESCOBRIMENTO,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS"
"20","Guatteria scytophylla","Annonaceae",87,10,"ÁREA DE PROTEÇÃO AMBIENTAL MARGEM ESQUERDA DO RIO NEGRO-SETOR ATURIÁ-APUAUZINHO,PARQUE NACIONAL DA SERRA DO DIVISOR,RESERVA BIOLÓGICA DO UATUMÃ,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL CANUMÃ,ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO,RESERVA BIOLÓGICA DO ABUFARI"
"21","Hornschuchia bryotrophe","Annonaceae",55,3,"RESERVA BIOLÓGICA DE UNA,ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU"
"22","Pseudoxandra bahiensis","Annonaceae",84,28,"ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE,RESERVA BIOLÓGICA DE UNA,PARQUE NACIONAL PAU BRASIL,ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA"
"23","Unonopsis bahiensis","Annonaceae",79,27,"PARQUE NACIONAL DO MONTE PASCOAL,RESERVA BIOLÓGICA DE UNA,ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA,ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU,PARQUE NACIONAL DO DESCOBRIMENTO,ÁREA DE PROTEÇÃO AMBIENTAL SANTO ANTÔNIO,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE"
"24","Xylopia laevigata","Annonaceae",296,47,"PARQUE NACIONAL DA CHAPADA DIAMANTINA,PARQUE NACIONAL DA SERRA DE ITABAIANA,ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE,ÁREA DE PROTEÇÃO AMBIENTAL CONCEIÇÃO DA BARRA,RESERVA BIOLÓGICA GUARIBAS,FLORESTA NACIONAL DE CONTENDAS DO SINCORÁ,ÁREA DE PROTEÇÃO AMBIENTAL PLATAFORMA CONTINENTAL DO LITORAL NORTE,ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA,RESERVA BIOLÓGICA DE UNA,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO BARBADO,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO NASCENTE DO RIO DE CONTAS,ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS E DUNAS DO ABAETÉ,PARQUE ESTADUAL PAULO CÉSAR VINHA,ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE"
"25","Xylopia ochrantha","Annonaceae",62,19,"PARQUE NACIONAL PAU BRASIL,ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA GUANANDY,PARQUE NACIONAL DO DESCOBRIMENTO,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE,FLORESTA NACIONAL DE TAPIRAPÉ-AQUIRI,PARQUE ESTADUAL  DA ILHA DO CARDOSO,ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO,FLORESTA NACIONAL DE CARAJÁS"
"26","Xylopia polyantha","Annonaceae",41,11,"ÁREA DE PROTEÇÃO AMBIENTAL MARGEM ESQUERDA DO RIO NEGRO-SETOR ATURIÁ-APUAUZINHO,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL MAMIRAUÁ,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA PROJETO DINÂMICA BIOLÓGICA DE FRAGMENTOS FLORESTAIS,FLORESTA NACIONAL DE CARAJÁS,RESERVA EXTRATIVISTA VERDE PARA SEMPRE,RESERVA EXTRATIVISTA DO CAZUMBÁ-IRACEMA"
"27","Aspidosperma discolor","Apocynaceae",172,34,"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA,RESERVA BIOLOGICA DE PEDRA TALHADA,ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO,ESTAÇÃO ECOLÓGICA DE MURICI,RESERVA BIOLÓGICA DE UNA,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU,ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO LAJEADO,PARQUE NACIONAL SERRA DAS CONFUSÕES,MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO,PARQUE NACIONAL DE SETE CIDADES,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO NASCENTE DO RIO DE CONTAS,FLORESTA NACIONAL DE CONTENDAS DO SINCORÁ,PARQUE NACIONAL DA CHAPADA DIAMANTINA,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO BARBADO,PARQUE NACIONAL DO MONTE PASCOAL,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE,PARQUE ESTADUAL GRÃO MOGOL,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU"
"28","Aspidosperma multiflorum","Apocynaceae",132,14,"PARQUE NACIONAL SERRA DAS CONFUSÕES,PARQUE NACIONAL DE SETE CIDADES,ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA,PARQUE NACIONAL DA SERRA DA CAPIVARA,PARQUE NACIONAL DA CHAPADA DOS VEADEIROS,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU"
"29","Aspidosperma pyricollum","Apocynaceae",57,5,"ÁREA DE PROTEÇÃO AMBIENTAL DE MARICÁ,ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS,FLORESTA NACIONAL DE CONTENDAS DO SINCORÁ,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE,PARQUE NACIONAL DO MONTE PASCOAL"
"30","Himatanthus bracteatus","Apocynaceae",398,45,"ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA,PARQUE ESTADUAL DE ITAÚNAS,ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA,RESERVA BIOLOGICA DE PEDRA TALHADA,PARQUE NACIONAL DA CHAPADA DIAMANTINA,RESERVA BIOLÓGICA GUARIBAS,PARQUE NACIONAL RESTINGA DE JURUBATIBA,ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS,PARQUE NACIONAL DO DESCOBRIMENTO,ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL MAMIRAUÁ,ESTAÇÃO ECOLÓGICA DE MURICI,ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS E DUNAS DO ABAETÉ,RESERVA BIOLÓGICA DE UNA,ÁREA DE PROTEÇÃO AMBIENTAL SANTO ANTÔNIO,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE,RESERVA EXTRATIVISTA TAPAJÓS ARAPIUNS"
"31","Himatanthus drasticus","Apocynaceae",315,59,"ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA,PARQUE NACIONAL DE SETE CIDADES,ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE,ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PACOTI,PARQUE NACIONAL DA CHAPADA DAS MESAS,ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO,PARQUE ESTADUAL DO JALAPãO,PARQUE NACIONAL SERRA DAS CONFUSÕES,ÁREA DE PROTEÇÃO AMBIENTAL SERRA BRANCA / RASO DA CATARINA,ESTACAO ECOLOGICA SERRA GERAL DO TOCANTINS,PARQUE NACIONAL DA CHAPADA DIAMANTINA,PARQUE ESTADUAL DO MORRO DO CHAPÉU,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERRA DO OROBÓ,ESTAÇÃO ECOLÓGICA DE URUÇUÍ-UNA,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA,PARQUE NACIONAL GRANDE SERTÃO VEREDAS,PARQUE NACIONAL DA CHAPADA DOS VEADEIROS,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO BARBADO,ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO,PARQUE NACIONAL DE ANAVILHANAS,ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL"
"32","Rauvolfia bahiensis","Apocynaceae",71,31,"ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,RESERVA BIOLÓGICA DE UNA,ESTAÇÃO ECOLÓGICA DE MURICI,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU"
"33","Rauvolfia grandiflora","Apocynaceae",206,40,"RESERVA BIOLOGICA DE PEDRA TALHADA,ESTAÇÃO ECOLÓGICA DE MURICI,PARQUE NACIONAL DO MONTE PASCOAL,ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERRA DO OROBÓ,RESERVA BIOLÓGICA DE UNA,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO,PARQUE NACIONAL DO DESCOBRIMENTO,ÁREA DE PROTEÇÃO AMBIENTAL SANTO ANTÔNIO,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU"
"34","Tabernaemontana angulata","Apocynaceae",81,1,"FLORESTA NACIONAL DE TAPAJÓS"
"35","Tabernaemontana hystrix","Apocynaceae",102,11,"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA,PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA,ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA,PARQUE ESTADUAL DA SERRA DO MAR,RESERVA BIOLÓGICA AUGUSTO RUSCHI,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA,ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ,RESERVA BIOLÓGICA DO CÓRREGO GRANDE,ÁREA DE PROTEÇÃO AMBIENTAL ÁGUAS VERTENTES,ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS"
"36","Tabernaemontana laeta","Apocynaceae",182,21,"PARQUE NACIONAL DE BRASÍLIA,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA,ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS,PARQUE ESTADUAL DA SERRA DO MAR,ESTAÇÃO ECOLÓGICA BANANAL,ESTAÇÃO ECOLÓGICA ITABERÁ,PARQUE ESTADUAL DO RIO DOCE,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO,RESERVA BIOLOGICA DE PEDRA TALHADA,RESERVA EXTRATIVISTA DO CAZUMBÁ-IRACEMA,ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS"
"37","Tabernaemontana salzmannii","Apocynaceae",171,34,"ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA,RESERVA BIOLOGICA DE PEDRA TALHADA,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,ESTAÇÃO ECOLÓGICA DE MURICI,PARQUE NACIONAL PAU BRASIL,PARQUE NACIONAL DO DESCOBRIMENTO,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE,ÁREA DE PROTEÇÃO AMBIENTAL SANTO ANTÔNIO,RESERVA BIOLÓGICA DE UNA,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU"
"38","Tabernaemontana solanifolia","Apocynaceae",116,22,"PARQUE NACIONAL DE BRASÍLIA,RESERVA BIOLOGICA DE PEDRA TALHADA,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS,ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA,MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERRA DO OROBÓ,ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA,ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU"
"39","Ilex conocarpa","Aquifoliaceae",99,23,"PARQUE NACIONAL DA SERRA DA CANASTRA,ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA,RESERVA BIOLÓGICA DA MATA ESCURA,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,PARQUE ESTADUAL BIRIBIRI,PARQUE ESTADUAL RIO PRETO,ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL"
"40","Ilex integerrima","Aquifoliaceae",62,19,"ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO,ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA,PARQUE NACIONAL DA SERRA DOS ORGÃOS,PARQUE ESTADUAL DA SERRA DO MAR,ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO,ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA SERRA DA ESPERANÇA,ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA,ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA,ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU,PARQUE NACIONAL DA TIJUCA"
